symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
ARBUSDT,CHOPPY,0.7206460279905363,0.3915966386554629,1,0,1,50,0.0,0.08,1.5006031363088166,1.0,0,2,-1.0
ARBUSDT,CHOPPY,0.7977400897377852,0.13265306122448778,0,0,0,50,0.0,0.07,1.5005524861878432,1.0,1,8,1.333
ARBUSDT,VOLATILE,1.4352656553385463,0.20054945054945023,0,0,0,50,0.0,0.07,1.5003855050115678,1.0,0,7,-1.0
ARBUSDT,VOLATILE,1.211160781086338,0.009940357852883039,0,0,0,50,0.0,0.07,1.500706214689267,1.0,0,30,-1.0
ARBUSDT,CHOPPY,0.7955925733125098,0.6264462809917373,0,0,0,50,0.0,0.08,1.4995251661918303,1.0,0,1,-1.0
ARBUSDT,NORMAL,0.8715164464624027,0.6676217765043023,1,0,0,50,0.0,0.07,1.4995655951346583,1.0,0,1,-1.0
ARBUSDT,NORMAL,0.9765470614451851,0.689507494646684,1,0,0,50,0.0,0.07,1.4999999999999998,1.0,0,20,-1.0
ARBUSDT,NORMAL,0.8688694367896838,0.5292553191489379,0,0,0,50,0.0,0.07,1.4995586937334564,-1.0,0,8,-1.0
ARBUSDT,NORMAL,0.9087412749040831,0.03592814371257532,0,0,0,50,0.0,0.07,1.5004995004995039,-1.0,0,17,1.158
OPUSDT,NORMAL,0.8261857635070753,0.1935483870967748,0,0,0,50,0.0,0.07,1.499542543458373,-1.0,0,2,-1.0
OPUSDT,NORMAL,0.9277362902617499,0.027777777777776437,1,0,1,50,0.0,0.07,1.5003933910306892,-1.0,1,9,1.333
OPUSDT,NORMAL,1.1705010020040076,0.13953488372093104,0,0,1,50,0.0,0.07,1.4999999999999996,-1.0,0,4,-1.0
OPUSDT,VOLATILE,1.4441939120631326,0.36448598130841103,0,0,0,50,0.0,0.07,1.50026219192449,-1.0,0,12,-1.0
OPUSDT,NORMAL,0.9108756080611543,0.333333333333334,1,0,1,50,0.0,0.07,1.500000000000004,1.0,1,13,1.333
OPUSDT,NORMAL,0.8491616616616623,0.49206349206348987,0,0,0,50,0.0,0.07,1.4996729888816243,-1.0,1,17,1.333
OPUSDT,NORMAL,0.9312971453926923,0.048780487804877454,0,0,0,50,0.0,0.07,1.500351864883891,-1.0,0,4,-1.0
OPUSDT,NORMAL,1.1384064594759278,0.16071428571428498,0,0,0,50,0.0,0.08,1.5002929115407193,-1.0,0,2,-1.0
OPUSDT,NORMAL,1.1712425072152732,0.5945945945945951,0,0,0,50,0.0,0.07,1.4996651038178104,-1.0,1,7,1.333
OPUSDT,NORMAL,1.0883445222111139,0.3720930232558118,0,0,0,50,0.0,0.07,1.4996956786366367,1.0,1,3,1.333
OPUSDT,NORMAL,1.1367395570507446,0.3207547169811326,0,0,0,50,0.0,0.07,1.5003182686187218,1.0,1,19,1.333
OPUSDT,NORMAL,1.0246369097407035,0.11999999999999815,0,0,0,50,0.0,0.07,1.4996276991809292,1.0,1,9,1.333
OPUSDT,NORMAL,1.1315686120493273,0.5409836065573796,0,0,0,50,0.0,0.07,1.5000000000000024,1.0,1,3,1.333
OPUSDT,VOLATILE,1.2239348668089465,0.6949152542372914,1,0,0,50,0.0,0.08,1.499999999999987,1.0,1,11,1.333
OPUSDT,VOLATILE,1.3046671767406266,0.5000000000000017,1,0,1,50,0.0,0.07,1.4997211377579458,1.0,1,1,1.333
OPUSDT,VOLATILE,1.3531226486079762,0.6146788990825703,0,0,0,50,0.0,0.07,1.4997266265718947,1.0,0,5,-1.0
OPUSDT,VOLATILE,1.2487363100252766,0.3129770992366434,0,0,0,50,0.0,0.07,1.5002474022761045,1.0,0,31,-1.0
OPUSDT,NORMAL,0.914754098360656,0.35483870967741893,1,0,1,50,0.0,0.07,1.5000000000000024,-1.0,0,4,-1.0
OPUSDT,NORMAL,0.8738811494717007,0.08823529411764554,0,0,0,50,0.0,0.07,1.5000000000000013,-1.0,0,6,-1.0
OPUSDT,CHOPPY,0.7843471153191203,0.6842105263157898,0,0,0,50,0.0,0.09,1.5000000000000067,-1.0,0,2,-1.0
OPUSDT,CHOPPY,0.7646817248459964,0.6428571428571422,1,0,0,50,0.0,0.09,1.4999999999999918,-1.0,1,3,1.333
OPUSDT,NORMAL,0.826489699986175,0.06666666666666841,0,0,0,50,0.0,0.07,1.499623777276133,-1.0,0,3,0.452
AVAXUSDT,CHOPPY,0.7628373215061652,0.25777777777778155,0,0,0,50,0.0,0.07,1.4999999999999933,-1.0,0,2,-1.0
AVAXUSDT,NORMAL,0.8472996108949405,0.1379310344827637,0,0,0,50,0.0,0.08,1.500008761016971,-1.0,1,1,1.333
AVAXUSDT,NORMAL,1.010759533965746,0.13913043478261072,1,0,1,50,0.0,0.08,1.4999999999999862,-1.0,1,3,1.333
AVAXUSDT,NORMAL,1.0855340375586844,0.004237288135594781,1,0,0,50,0.0,0.07,1.4999933460202604,-1.0,0,2,-1.0
AVAXUSDT,VOLATILE,1.6433624774744668,0.1251980982567356,0,0,0,50,0.0,0.08,1.499995056504141,-1.0,0,1,-1.0
AVAXUSDT,VOLATILE,1.796798211732218,0.4106280193236711,0,0,0,50,0.0,0.08,1.4999999999999927,-1.0,0,13,-1.0
AVAXUSDT,VOLATILE,1.248257089367961,0.39053254437869983,1,0,1,50,0.0,0.07,1.5000000000000058,1.0,1,7,1.333
AVAXUSDT,NORMAL,1.1967094077642413,0.06106264869151459,0,0,0,50,0.0,0.07,1.4999968138457416,1.0,1,14,1.333
AVAXUSDT,NORMAL,0.9508273455142663,0.03619441571871775,1,0,0,50,0.0,0.08,1.5000000000000067,1.0,0,5,-1.0
AVAXUSDT,NORMAL,0.8124175359107774,0.23854660347551204,0,0,0,50,0.0,0.07,1.500004947017446,1.0,1,18,1.333
AVAXUSDT,NORMAL,1.064979247465468,0.41095890410958985,0,0,0,50,0.0,0.07,1.499999999999995,1.0,1,4,1.333
AVAXUSDT,NORMAL,1.069988528106139,0.5172413793103456,0,0,0,50,0.0,0.08,1.5000038889018525,1.0,0,2,-1.0
AVAXUSDT,VOLATILE,1.2995792370430919,0.05555555555555486,0,0,0,50,0.0,0.07,1.5000000000000098,1.0,0,6,-1.0
AVAXUSDT,NORMAL,1.1836576177715616,0.1370558375634522,0,0,0,50,0.0,0.08,1.4999961517444176,1.0,1,47,1.333
AVAXUSDT,VOLATILE,1.2760924572825756,0.19876733436055333,0,0,0,50,0.0,0.07,1.500000000000005,1.0,1,2,1.333
AVAXUSDT,VOLATILE,1.6966158487938616,0.5531453362255948,0,0,0,50,0.0,0.07,1.5000000000000053,1.0,0,10,-1.0
AVAXUSDT,VOLATILE,1.8947388711833033,0.19850187265917554,0,0,0,50,0.0,0.07,1.4999968581715806,1.0,1,7,1.333
AVAXUSDT,VOLATILE,1.5471861749967866,0.350354609929077,0,0,0,50,0.0,0.07,1.4999959490881403,1.0,0,4,-1.0
AVAXUSDT,VOLATILE,1.2105961697274756,0.22314049586776932,0,0,0,50,0.0,0.07,1.5000039414458832,1.0,0,20,-1.0
AVAXUSDT,CHOPPY,0.714246175987601,0.5252032520325207,0,0,0,50,0.0,0.07,1.5000000000000018,1.0,0,1,-1.0
AVAXUSDT,NORMAL,0.8978903598284367,0.39030023094687777,0,0,1,50,0.0,0.07,1.500007186902567,-1.0,1,1,1.333
AVAXUSDT,NORMAL,0.9004860011734886,0.404929577464786,1,0,1,50,0.0,0.07,1.5000000000000095,-1.0,0,4,-1.0
AVAXUSDT,NORMAL,0.9633143152943289,0.14820592823712972,0,0,0,50,0.0,0.07,1.4999999999999991,-1.0,0,23,0.475
LINKUSDT,CHOPPY,0.7623420483436418,0.26666666666666683,0,0,0,50,0.0,0.07,1.4999999999999962,-1.0,0,2,-1.0
LINKUSDT,NORMAL,0.828480663708683,0.06401766004414952,0,0,0,50,0.0,0.07,1.4999924406210774,-1.0,1,1,1.333
LINKUSDT,NORMAL,0.9288974813382741,0.0340681362725438,1,0,1,50,0.0,0.07,1.4999999999999858,-1.0,1,3,1.333
LINKUSDT,VOLATILE,1.2856039857817156,0.25465838509316785,0,0,0,50,0.0,0.07,1.4999948793052236,-1.0,0,1,-1.0
LINKUSDT,VOLATILE,1.438823117746545,0.14383561643835463,0,0,0,50,0.0,0.08,1.5000000000000009,-1.0,0,1,-1.0
LINKUSDT,VOLATILE,1.5263890298172107,0.3767705382436236,0,0,0,50,0.0,0.09,1.5000044220003288,-1.0,0,13,-1.0
LINKUSDT,NORMAL,0.9921797913211423,0.10304789550072499,0,0,0,50,0.0,0.07,1.4999999999999936,1.0,0,2,-1.0
LINKUSDT,NORMAL,1.0865327150953126,0.29024081115335887,1,0,1,50,0.0,0.08,1.5000047361491369,1.0,0,3,-1.0
LINKUSDT,NORMAL,1.0644143102703036,0.07254623044096732,0,0,0,50,0.0,0.07,1.5000047233531952,1.0,1,53,1.333
LINKUSDT,NORMAL,1.161876245307735,0.29234629861982625,0,0,1,50,0.0,0.07,1.5000000000000087,1.0,1,7,1.333
LINKUSDT,NORMAL,1.1034168564920273,0.502164502164502,0,0,0,50,0.0,0.08,1.5000000000000002,1.0,0,1,-1.0
LINKUSDT,VOLATILE,1.2544910823777455,0.05779716466739444,0,0,0,50,0.0,0.07,1.5000000000000007,1.0,0,6,-1.0
LINKUSDT,NORMAL,1.143955029610345,0.15911485774499426,0,0,0,50,0.0,0.08,1.4999959490881403,1.0,1,34,1.333
LINKUSDT,CHOPPY,0.6591158820049021,0.6250000000000029,1,0,0,50,0.0,0.07,1.4999915152132217,-1.0,1,3,1.333
LINKUSDT,CHOPPY,0.7767758557232253,0.363984674329503,1,0,1,50,0.0,0.07,1.499991293597309,1.0,1,3,1.333
LINKUSDT,NORMAL,0.9702761908852748,0.1866404715127679,0,0,0,50,0.0,0.08,1.4999929006517032,1.0,1,1,1.333
LINKUSDT,NORMAL,1.1758104920818666,0.3581395348837199,0,0,0,50,0.0,0.08,1.4999999999999998,1.0,1,3,1.333
LINKUSDT,VOLATILE,1.575401134033058,0.5782155272305909,0,0,0,50,0.0,0.07,1.5000039348080993,1.0,1,15,1.333
